driver_number,lap_end,lap_start,stint_number,tyre_age_at_start,compound_HARD,compound_MEDIUM,compound_SOFT
16,7,1,1,0,0,1,0
87,7,1,1,0,0,1,0
5,7,1,1,0,0,1,0
31,10,1,1,0,0,1,0
27,6,1,1,0,0,1,0
30,4,1,1,0,0,1,0
7,6,1,1,0,0,1,0
10,6,1,1,0,1,0,0
44,4,1,1,0,0,1,0
23,9,1,1,0,0,1,0
55,7,1,1,0,0,1,0
22,4,1,1,0,0,1,0
14,3,1,1,0,0,1,0
1,7,1,1,0,0,0,1
18,8,1,1,0,0,1,0
12,4,1,1,0,0,0,1
81,9,1,1,0,1,0,0
4,8,1,1,0,1,0,0
6,4,1,1,0,0,1,0
63,4,1,1,0,0,0,1
30,7,4,2,3,0,1,0
12,8,4,2,0,0,0,1
22,8,4,2,3,0,1,0
27,8,6,2,5,0,1,0
10,9,6,2,5,1,0,0
7,9,6,2,5,0,1,0
63,7,4,2,3,0,0,1
44,9,4,2,0,0,0,1
6,7,4,2,3,0,1,0
87,10,7,2,6,0,1,0
55,10,7,2,6,0,1,0
30,9,7,3,0,0,0,1
16,10,7,2,0,0,0,1
23,12,9,2,0,0,0,1
18,14,8,2,0,0,0,1
1,10,7,2,0,0,0,1
5,10,7,2,0,0,0,1
4,11,8,2,0,0,0,1
81,12,9,2,0,0,0,1
10,12,9,3,0,0,0,1
63,10,7,3,0,0,0,1
12,11,8,3,0,0,0,1
55,15,10,3,0,0,0,1
7,12,9,3,0,0,0,1
6,9,7,3,0,0,1,0
16,13,10,3,3,0,0,1
27,11,8,3,0,0,0,1
22,12,8,3,0,0,0,1
30,12,10,4,0,0,0,1
87,13,10,3,0,0,0,1
31,16,10,2,0,0,0,1
5,11,10,3,0,0,0,1
10,15,12,4,3,0,0,1
14,7,3,2,2,0,1,0
7,15,12,4,3,0,0,1
44,12,9,3,0,0,0,1
27,14,11,4,3,0,0,1
23,18,12,3,8,0,1,0
16,16,13,4,0,0,0,1
4,26,11,3,3,0,0,1
1,27,10,3,3,0,0,1
81,22,12,3,8,1,0,0
12,25,11,4,3,0,0,1
63,23,10,4,3,0,0,1
6,22,10,4,6,0,1,0
87,27,13,4,3,0,0,1
5,22,11,4,6,0,1,0
30,27,13,5,0,0,1,0
14,10,7,3,0,0,0,1
18,27,14,3,7,0,0,1
55,18,15,4,5,0,0,1
22,25,12,4,7,0,1,0
10,17,15,5,6,0,0,1
7,27,15,5,8,0,1,0
44,19,12,4,5,0,0,1
23,29,18,4,3,0,0,1
16,27,16,5,6,0,1,0
31,27,16,3,9,0,1,0
10,27,17,6,8,1,0,0
14,19,10,4,3,0,0,1
55,28,18,5,9,0,1,0
27,24,14,5,6,0,0,1
81,29,22,4,3,0,0,1
44,23,19,5,0,0,0,1
5,25,22,5,4,0,0,1
6,24,22,5,0,0,0,1
12,27,25,5,7,0,0,1
63,25,23,5,6,0,0,1
4,28,26,4,7,1,0,0
