date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
,87,,49.754,27.076,179,213,True,,1,1257,"[2064, 2064, 2064, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]",10009,147
2025-04-12 12:32:48.514000+00:00,87,31.248,42.448,24.129,234,260,False,97.825,2,1257,"[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2048]",10009,310
2025-04-12 12:33:04.032000+00:00,31,,61.6,31.054,134,147,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,135
2025-04-12 12:33:48.638000+00:00,44,,56.194,25.592,153,195,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",10009,134
2025-04-12 12:34:26.196000+00:00,87,61.095,81.875,45.248,103,120,False,188.218,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,150
2025-04-12 12:35:17.228000+00:00,31,30.684,41.749,23.976,235,266,False,96.409,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2051, 2051, 2049, 2049]",10009,310
2025-04-12 12:35:52.378000+00:00,44,30.049,45.394,37.66,237,164,False,113.103,2,1257,"[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2051, 2049, 2051, 2051, 2051, 2051, 2051, 2051, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,316
2025-04-12 12:36:53.567000+00:00,31,52.086,72.149,42.893,123,120,False,167.128,3,1257,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,142
2025-04-12 12:38:14.455000+00:00,87,88.261,60.934,26.376,116,195,True,175.571,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,116
2025-04-12 12:38:16.977000+00:00,44,91.35,66.487,30.313,119,135,True,188.15,3,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,206
2025-04-12 12:39:44.634000+00:00,16,,66.223,29.296,146,163,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,152
2025-04-12 12:40:12.979000+00:00,31,93.646,67.604,30.682,122,147,True,191.932,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",10009,156
2025-04-12 12:40:30.145000+00:00,87,30.747,42.467,23.993,235,263,False,97.207,5,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2048, 2048]",10009,314
2025-04-12 12:40:53.662000+00:00,44,30.09,41.202,23.554,237,268,False,94.846,4,1257,"[2048, 2048, 2049, 2048, 2048, 2048, 2051, 2051, 2051, 2049]","[2048, 2051, 2048, 2051, 2048, 2048, 2048, 2048, 2049, 2051, 2051]","[2051, 2049, 2051, 2051, 2051, 2048, 2048]",10009,316
2025-04-12 12:41:09.461000+00:00,7,,49.557,26.965,183,232,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,115
2025-04-12 12:41:48.054000+00:00,10,,54.043,26.392,175,182,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,129
2025-04-12 12:42:01.185000+00:00,16,30.129,41.211,23.563,238,265,False,94.903,2,1257,"[2049, 2049, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2048]",10009,317
2025-04-12 12:42:07.275000+00:00,87,43.675,68.594,46.881,136,123,False,159.15,6,1257,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,250
2025-04-12 12:42:28.436000+00:00,44,46.608,58.414,34.726,150,162,False,139.748,5,1257,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,143
2025-04-12 12:42:52.633000+00:00,31,30.547,41.774,23.789,235,269,False,96.11,5,1257,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2051, 2049, 2049, 2048, 2049, 2049]",10009,315
2025-04-12 12:43:10.733000+00:00,7,30.399,41.279,23.896,233,266,False,95.574,2,1257,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",10009,315
2025-04-12 12:43:35.980000+00:00,16,47.081,60.345,35.215,160,158,False,142.641,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,142
2025-04-12 12:43:41.830000+00:00,5,,55.951,27.455,203,146,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,91
2025-04-12 12:43:48.526000+00:00,10,30.236,41.182,23.688,236,263,False,95.106,2,1257,"[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2048]",10009,317
2025-04-12 12:44:28.719000+00:00,31,35.593,52.488,32.728,185,183,False,120.809,6,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,233
2025-04-12 12:44:46.212000+00:00,7,47.318,65.525,39.159,135,132,False,152.002,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,205
2025-04-12 12:44:47.599000+00:00,22,,60.614,28.687,136,187,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,102
2025-04-12 12:45:23.583000+00:00,10,48.238,73.25,42.783,112,125,False,164.271,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,229
2025-04-12 12:45:49.209000+00:00,5,29.772,44.885,23.921,239,238,False,98.578,2,1257,"[2049, 2051, 2051, 2049, 2049, 2051, 2051, 2051, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051, None, None, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",10009,319
2025-04-12 12:45:51.789000+00:00,4,,58.527,32.434,144,178,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,206
2025-04-12 12:46:14.860000+00:00,27,,57.485,29.64,196,169,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,150
2025-04-12 12:46:56.149000+00:00,1,,53.171,25.535,148,200,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,183
2025-04-12 12:47:00.994000+00:00,22,30.455,41.555,23.774,234,269,False,95.784,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049, 2048]",10009,314
2025-04-12 12:47:27.664000+00:00,5,42.887,57.629,36.401,152,167,False,136.917,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,158
2025-04-12 12:47:45.777000+00:00,7,72.183,63.149,27.954,164,212,True,163.286,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,107
2025-04-12 12:48:12.356000+00:00,4,29.962,40.554,23.28,238,268,False,93.796,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2049, 2049]",10009,309
2025-04-12 12:48:19.936000+00:00,27,30.126,41.033,23.718,240,268,False,94.877,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,317
2025-04-12 12:48:29.120000+00:00,18,,64.446,28.723,157,122,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,164
2025-04-12 12:48:35.688000+00:00,14,,61.938,29.172,145,159,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10009,137
2025-04-12 12:48:36.652000+00:00,22,54.217,75.534,43.149,103,122,False,172.9,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,176
2025-04-12 12:48:43.362000+00:00,10,81.639,61.479,27.871,137,155,True,170.989,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,110
2025-04-12 12:48:53.330000+00:00,1,29.692,48.67,31.884,237,186,False,110.246,2,1257,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2064]",10009,315
