compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,16,7,1,1257,10008,1,0
MEDIUM,87,7,1,1257,10008,1,0
MEDIUM,5,7,1,1257,10008,1,0
MEDIUM,31,10,1,1257,10008,1,0
MEDIUM,27,6,1,1257,10008,1,0
MEDIUM,30,4,1,1257,10008,1,0
MEDIUM,7,6,1,1257,10008,1,0
HARD,10,6,1,1257,10008,1,0
MEDIUM,44,4,1,1257,10008,1,0
MEDIUM,23,9,1,1257,10008,1,0
MEDIUM,55,7,1,1257,10008,1,0
MEDIUM,22,4,1,1257,10008,1,0
MEDIUM,14,3,1,1257,10008,1,0
SOFT,1,7,1,1257,10008,1,0
MEDIUM,18,8,1,1257,10008,1,0
SOFT,12,4,1,1257,10008,1,0
HARD,81,9,1,1257,10008,1,0
HARD,4,8,1,1257,10008,1,0
MEDIUM,6,4,1,1257,10008,1,0
SOFT,63,4,1,1257,10008,1,0
MEDIUM,30,7,4,1257,10008,2,3
SOFT,12,8,4,1257,10008,2,0
MEDIUM,22,8,4,1257,10008,2,3
MEDIUM,27,8,6,1257,10008,2,5
HARD,10,9,6,1257,10008,2,5
MEDIUM,7,9,6,1257,10008,2,5
SOFT,63,7,4,1257,10008,2,3
SOFT,44,9,4,1257,10008,2,0
MEDIUM,6,7,4,1257,10008,2,3
MEDIUM,87,10,7,1257,10008,2,6
MEDIUM,55,10,7,1257,10008,2,6
SOFT,30,9,7,1257,10008,3,0
SOFT,16,10,7,1257,10008,2,0
SOFT,23,12,9,1257,10008,2,0
SOFT,18,14,8,1257,10008,2,0
SOFT,1,10,7,1257,10008,2,0
SOFT,5,10,7,1257,10008,2,0
SOFT,4,11,8,1257,10008,2,0
SOFT,81,12,9,1257,10008,2,0
SOFT,10,12,9,1257,10008,3,0
SOFT,63,10,7,1257,10008,3,0
SOFT,12,11,8,1257,10008,3,0
SOFT,55,15,10,1257,10008,3,0
SOFT,7,12,9,1257,10008,3,0
MEDIUM,6,9,7,1257,10008,3,0
SOFT,16,13,10,1257,10008,3,3
SOFT,27,11,8,1257,10008,3,0
SOFT,22,12,8,1257,10008,3,0
SOFT,30,12,10,1257,10008,4,0
SOFT,87,13,10,1257,10008,3,0
SOFT,31,16,10,1257,10008,2,0
SOFT,5,11,10,1257,10008,3,0
SOFT,10,15,12,1257,10008,4,3
MEDIUM,14,7,3,1257,10008,2,2
SOFT,7,15,12,1257,10008,4,3
SOFT,44,12,9,1257,10008,3,0
SOFT,27,14,11,1257,10008,4,3
MEDIUM,23,18,12,1257,10008,3,8
SOFT,16,16,13,1257,10008,4,0
SOFT,4,26,11,1257,10008,3,3
SOFT,1,27,10,1257,10008,3,3
HARD,81,22,12,1257,10008,3,8
SOFT,12,25,11,1257,10008,4,3
SOFT,63,23,10,1257,10008,4,3
MEDIUM,6,22,10,1257,10008,4,6
SOFT,87,27,13,1257,10008,4,3
MEDIUM,5,22,11,1257,10008,4,6
MEDIUM,30,27,13,1257,10008,5,0
SOFT,14,10,7,1257,10008,3,0
SOFT,18,27,14,1257,10008,3,7
SOFT,55,18,15,1257,10008,4,5
MEDIUM,22,25,12,1257,10008,4,7
SOFT,10,17,15,1257,10008,5,6
MEDIUM,7,27,15,1257,10008,5,8
SOFT,44,19,12,1257,10008,4,5
SOFT,23,29,18,1257,10008,4,3
MEDIUM,16,27,16,1257,10008,5,6
MEDIUM,31,27,16,1257,10008,3,9
HARD,10,27,17,1257,10008,6,8
SOFT,14,19,10,1257,10008,4,3
MEDIUM,55,28,18,1257,10008,5,9
SOFT,27,24,14,1257,10008,5,6
SOFT,81,29,22,1257,10008,4,3
SOFT,44,23,19,1257,10008,5,0
SOFT,5,25,22,1257,10008,5,4
SOFT,6,24,22,1257,10008,5,0
SOFT,12,27,25,1257,10008,5,7
SOFT,63,25,23,1257,10008,5,6
HARD,4,28,26,1257,10008,4,7
