driver_number,lap_end,lap_start,stint_number,tyre_age_at_start,compound_HARD,compound_MEDIUM,compound_SOFT
87,4,1,1,0,1,0,0
31,4,1,1,0,1,0,0
44,3,1,1,3,0,0,1
44,6,3,2,5,0,0,1
87,7,4,2,3,1,0,0
16,4,1,1,3,0,0,1
31,7,4,2,3,1,0,0
7,4,1,1,0,0,1,0
10,4,1,1,0,0,1,0
5,4,1,1,0,0,0,1
22,4,1,1,0,1,0,0
4,4,1,1,0,0,0,1
27,4,1,1,0,0,0,1
1,3,1,1,0,0,0,1
7,7,4,2,3,0,1,0
18,4,1,1,0,0,0,1
14,10,1,1,0,0,0,1
10,7,4,2,0,0,1,0
81,4,1,1,0,0,0,1
16,7,4,2,6,0,0,1
55,4,1,1,0,1,0,0
87,13,7,3,6,1,0,0
23,4,1,1,0,1,0,0
22,7,4,2,3,1,0,0
27,7,4,2,3,0,0,1
4,11,4,2,3,0,0,1
6,4,1,1,0,0,1,0
30,4,1,1,0,0,1,0
12,4,1,1,0,0,1,0
7,10,7,3,6,0,1,0
18,10,4,2,0,0,0,1
10,10,7,3,6,0,1,0
81,8,4,2,3,0,0,1
44,13,6,3,0,0,0,1
5,7,4,2,3,0,0,1
55,6,4,2,3,1,0,0
23,6,4,2,0,1,0,0
16,13,7,3,9,0,0,1
22,8,7,3,6,1,0,0
63,6,1,1,0,0,1,0
1,7,3,2,2,0,0,1
27,7,7,3,6,0,0,1
31,12,7,3,6,1,0,0
12,7,4,2,3,0,1,0
23,9,6,3,5,1,0,0
6,7,4,2,3,0,1,0
30,7,4,2,3,0,1,0
55,9,6,3,5,1,0,0
5,10,7,3,0,0,0,1
6,8,7,3,0,0,1,0
30,8,7,3,6,0,1,0
63,8,6,2,5,0,1,0
22,11,8,4,0,0,0,1
14,13,10,2,0,0,0,1
23,12,9,4,0,0,0,1
4,13,11,3,0,0,0,1
5,12,10,4,3,0,0,1
1,10,7,3,0,0,0,1
10,13,10,4,0,0,0,1
87,16,13,4,0,0,0,1
7,13,10,4,0,0,0,1
81,11,8,3,0,0,0,1
6,11,8,4,0,0,0,1
12,10,7,3,0,0,0,1
30,11,8,4,0,0,0,1
18,12,10,3,0,0,0,1
31,15,12,4,0,0,0,1
63,11,8,3,0,0,0,1
55,12,9,4,0,0,0,1
14,16,13,3,3,0,0,1
4,16,13,4,0,0,0,1
16,16,13,4,0,0,0,1
44,16,13,4,0,0,0,1
10,18,13,5,3,0,0,1
7,16,13,5,3,0,0,1
5,13,12,5,6,0,0,1
18,16,12,4,2,0,0,1
6,12,11,5,3,0,0,1
23,16,12,5,3,0,0,1
5,14,13,6,0,0,0,1
22,15,11,5,7,1,0,0
30,14,11,5,0,0,0,1
1,13,10,4,3,0,0,1
16,19,16,5,3,0,0,1
6,15,12,6,0,0,0,1
55,15,12,5,3,0,0,1
5,16,14,7,0,0,0,1
12,12,10,4,3,0,0,1
44,18,16,5,3,0,0,1
81,13,11,4,3,0,0,1
87,18,16,5,12,1,0,0
14,18,16,4,6,0,0,1
31,17,15,5,11,1,0,0
63,13,11,4,0,0,0,1
7,18,16,6,6,0,0,1
4,18,16,5,5,0,0,1
