compound_sequence,pit_laps,total_time
"('SOFT',)",[],51.867332
"('MEDIUM',)",[],41.962868
"('HARD',)",[],56.698895
"('SOFT', 'SOFT')",[10],72.29768
"('SOFT', 'SOFT')",[11],72.33269
"('SOFT', 'SOFT')",[12],72.36768
"('SOFT', 'SOFT')",[13],72.40269
"('SOFT', 'SOFT')",[14],72.43768
"('SOFT', 'SOFT')",[15],72.47269
"('SOFT', 'SOFT')",[16],72.50768
"('SOFT', 'SOFT')",[17],72.54269
"('SOFT', 'SOFT')",[18],72.57768
"('SOFT', 'SOFT')",[19],72.612686
"('SOFT', 'SOFT')",[20],72.64769
"('SOFT', 'SOFT')",[21],72.682686
"('SOFT', 'SOFT')",[22],72.71768
"('SOFT', 'SOFT')",[23],72.752686
"('SOFT', 'SOFT')",[24],72.78769
"('SOFT', 'SOFT')",[25],72.822685
"('SOFT', 'SOFT')",[26],72.85768
"('SOFT', 'SOFT')",[27],72.892685
"('SOFT', 'SOFT')",[28],72.92769
"('SOFT', 'SOFT')",[29],72.962685
"('SOFT', 'SOFT')",[30],72.99768
"('SOFT', 'SOFT')",[31],73.032684
"('SOFT', 'SOFT')",[32],73.06769
"('SOFT', 'SOFT')",[33],73.10268
"('SOFT', 'SOFT')",[34],73.13768
"('SOFT', 'SOFT')",[35],73.17268
"('SOFT', 'SOFT')",[36],73.20769
"('SOFT', 'SOFT')",[37],73.24269
"('SOFT', 'SOFT')",[38],73.27769
"('SOFT', 'SOFT')",[39],73.31268
"('SOFT', 'SOFT')",[40],73.34769
"('SOFT', 'SOFT')",[41],73.38269
"('SOFT', 'SOFT')",[42],73.41769
"('SOFT', 'SOFT')",[43],73.45268
"('SOFT', 'SOFT')",[44],73.487686
"('SOFT', 'SOFT')",[45],73.52268
"('SOFT', 'SOFT')",[46],73.557686
"('SOFT', 'MEDIUM')",[10],64.12111
"('SOFT', 'MEDIUM')",[11],64.330086
"('SOFT', 'MEDIUM')",[12],64.53905
"('SOFT', 'MEDIUM')",[13],64.748024
"('SOFT', 'MEDIUM')",[14],64.956985
"('SOFT', 'MEDIUM')",[15],65.16596
"('SOFT', 'MEDIUM')",[16],65.37492
"('SOFT', 'MEDIUM')",[17],65.5839
"('SOFT', 'MEDIUM')",[18],65.79287
"('SOFT', 'MEDIUM')",[19],66.00185
"('SOFT', 'MEDIUM')",[20],66.210815
"('SOFT', 'MEDIUM')",[21],66.419785
"('SOFT', 'MEDIUM')",[22],66.62875
"('SOFT', 'MEDIUM')",[23],66.83772
"('SOFT', 'MEDIUM')",[24],67.04669
"('SOFT', 'MEDIUM')",[25],67.25566
"('SOFT', 'MEDIUM')",[26],67.46463
"('SOFT', 'MEDIUM')",[27],67.6736
"('SOFT', 'MEDIUM')",[28],67.88257
"('SOFT', 'MEDIUM')",[29],68.09154
"('SOFT', 'MEDIUM')",[30],68.30051
"('SOFT', 'MEDIUM')",[31],68.509476
"('SOFT', 'MEDIUM')",[32],68.718445
"('SOFT', 'MEDIUM')",[33],68.92741
"('SOFT', 'MEDIUM')",[34],69.136375
"('SOFT', 'MEDIUM')",[35],69.34535
"('SOFT', 'MEDIUM')",[36],69.55432
"('SOFT', 'MEDIUM')",[37],69.7633
"('SOFT', 'MEDIUM')",[38],69.972275
"('SOFT', 'MEDIUM')",[39],70.181244
"('SOFT', 'MEDIUM')",[40],70.390205
"('SOFT', 'MEDIUM')",[41],70.59918
"('SOFT', 'MEDIUM')",[42],70.80815
"('SOFT', 'MEDIUM')",[43],71.01712
"('SOFT', 'MEDIUM')",[44],71.22609
"('SOFT', 'MEDIUM')",[45],71.43505
"('SOFT', 'MEDIUM')",[46],71.64403
"('SOFT', 'HARD')",[10],76.271866
"('SOFT', 'HARD')",[11],76.22231
"('SOFT', 'HARD')",[12],76.17275
"('SOFT', 'HARD')",[13],76.1232
"('SOFT', 'HARD')",[14],76.07364
"('SOFT', 'HARD')",[15],76.024086
"('SOFT', 'HARD')",[16],75.974525
"('SOFT', 'HARD')",[17],75.92497
"('SOFT', 'HARD')",[18],75.87541
"('SOFT', 'HARD')",[19],75.82586
"('SOFT', 'HARD')",[20],75.7763
"('SOFT', 'HARD')",[21],75.726746
"('SOFT', 'HARD')",[22],75.677185
"('SOFT', 'HARD')",[23],75.627625
"('SOFT', 'HARD')",[24],75.57807
"('SOFT', 'HARD')",[25],75.52852
"('SOFT', 'HARD')",[26],75.47896
"('SOFT', 'HARD')",[27],75.4294
"('SOFT', 'HARD')",[28],75.379845
"('SOFT', 'HARD')",[29],75.33029
"('SOFT', 'HARD')",[30],75.28073
"('SOFT', 'HARD')",[31],75.23117
"('SOFT', 'HARD')",[32],75.18162
"('SOFT', 'HARD')",[33],75.13206
"('SOFT', 'HARD')",[34],75.082504
"('SOFT', 'HARD')",[35],75.03294
"('SOFT', 'HARD')",[36],74.98339
"('SOFT', 'HARD')",[37],74.93384
"('SOFT', 'HARD')",[38],74.88428
"('SOFT', 'HARD')",[39],74.83472
"('SOFT', 'HARD')",[40],74.78516
"('SOFT', 'HARD')",[41],74.7356
"('SOFT', 'HARD')",[42],74.686035
"('SOFT', 'HARD')",[43],74.636475
"('SOFT', 'HARD')",[44],74.58693
"('SOFT', 'HARD')",[45],74.53736
"('SOFT', 'HARD')",[46],74.48781
"('MEDIUM', 'SOFT')",[10],70.74376
"('MEDIUM', 'SOFT')",[11],70.6048
"('MEDIUM', 'SOFT')",[12],70.46582
"('MEDIUM', 'SOFT')",[13],70.32686
"('MEDIUM', 'SOFT')",[14],70.18788
"('MEDIUM', 'SOFT')",[15],70.04892
"('MEDIUM', 'SOFT')",[16],69.90994
"('MEDIUM', 'SOFT')",[17],69.77098
"('MEDIUM', 'SOFT')",[18],69.632
"('MEDIUM', 'SOFT')",[19],69.493034
"('MEDIUM', 'SOFT')",[20],69.354065
"('MEDIUM', 'SOFT')",[21],69.215096
"('MEDIUM', 'SOFT')",[22],69.076126
"('MEDIUM', 'SOFT')",[23],68.93716
"('MEDIUM', 'SOFT')",[24],68.79819
"('MEDIUM', 'SOFT')",[25],68.65922
"('MEDIUM', 'SOFT')",[26],68.52025
"('MEDIUM', 'SOFT')",[27],68.38128
"('MEDIUM', 'SOFT')",[28],68.24231
