SOFT,MEDIUM,HARD
1.9247243,1.7552634,2.0137904
3.8971925,3.5610561,4.0781097
5.757728,5.2476225,6.023203
7.6310205,6.946945,7.981053
9.375668,8.517623,9.810258
11.085315,10.053301,11.604463
12.759962,11.553979,13.3636675
14.39961,13.019657,15.0878725
16.004257,14.450335,16.777077
17.573904,15.846012,18.431282
19.108551,17.20669,20.050488
20.608198,18.532368,21.634693
22.072845,19.823046,23.183897
23.502493,21.078724,24.698101
24.89714,22.299402,26.177305
26.256788,23.48508,27.62151
27.581436,24.635757,29.030714
28.871084,25.751434,30.404919
30.125732,26.832111,31.744123
31.345379,27.877789,33.04833
32.530025,28.888466,34.31753
33.679672,29.864143,35.551735
34.79432,30.804821,36.75094
35.873966,31.710499,37.915142
36.918613,32.581177,39.044346
37.92826,33.416855,40.13855
38.90291,34.217533,41.197754
39.842556,34.98321,42.22196
40.747204,35.71389,43.211163
41.61685,36.40957,44.165367
42.4515,37.070248,45.08457
43.25115,37.695927,45.968777
44.015797,38.286606,46.81798
44.745445,38.842285,47.632187
45.440094,39.362965,48.411392
46.099743,39.84864,49.155598
46.724392,40.299316,49.864803
47.31404,40.714993,50.53901
47.868687,41.09567,51.178215
48.388332,41.441345,51.78242
48.87298,41.75202,52.351627
49.322624,42.0277,52.885834
49.73727,42.268375,53.38504
50.116917,42.474052,53.849243
50.461563,42.64473,54.278446
50.77121,42.780407,54.67265
51.045856,42.881084,55.031853
51.285503,42.946762,55.356056
51.49015,42.97744,55.64526
51.659798,42.973118,55.899464
51.794445,42.933796,56.118668
51.894093,42.859474,56.30287
51.95874,42.750153,56.452076
51.988388,42.60583,56.56628
51.983036,42.42651,56.645485
51.942684,42.21219,56.68969
51.867332,41.962868,56.698895
