,0
duration_sector_1,0.075380266
duration_sector_2,0.044765025
duration_sector_3,0.029707737
i1_speed,0.043991987
i2_speed,0.031882737
st_speed,0.052903485
segments_sector_1,0.0
segments_sector_2,0.0
segments_sector_3,0.019489847
tyre_age_at_start,0.027897695
compound_HARD,0.01479929
compound_MEDIUM,0.030119061
compound_SOFT,0.02441108
air_temperature,0.05928718
humidity,0.062008098
pressure,0.08274701
rainfall,0.0
track_temperature,0.13200901
wind_direction,0.046626665
wind_speed,0.044360332
laps_since_stint_start,0.12805606
stint_avg_pace,0.04955742
